expid;expname;nCardsexp;dataexp;
SR03-JP;Structure Deck R: Machine Dragon Re-Volt;40 Cards;24th September;2016
SR10-JP;Structure Deck R: Machiners Command;41 Cards;22nd February;2020
SR02-JP;Structure Deck R: Revival of the Great Divine Dragon;42 Cards;6th February;2016
SR05-JP;Structure Deck R: Surge of Divine Light;42 Cards;23rd September;2017
SR04-JP;Structure Deck R: Tyranno's Rage;40 Cards;25th February;2017
SR07-JP;Structure Deck R: Undead World;42 Cards;22nd September;2018
SR09-JP;Structure Deck R: Warriors' Strike;42 Cards;28th September;2019
SD14;Structure Deck: Advent of the Emperor;0 Cards;14th December;2007
SD43;Structure Deck: Alba Strike (OCG);56 Cards;4th December;2021
SDAZ;Structure Deck: Albaz Strike;51 Cards;14th April;2022
SDBT;Structure Deck: Beware of Traptrix;46 Cards;23rd February;2023
SD3;Structure Deck: Blaze of Destruction;31 Cards;9th May;2005
SD3-JP;Structure Deck: Blaze of Destruction (Japanese);0 Cards;20th January;2005
SD26;Structure Deck: Blitzkrieg of the Mechlight Dragons;38 Cards;7th December;2013
SD12;Structure Deck: Curse of Darkness;0 Cards;8th March;2007
SDCR;Structure Deck: Cyber Dragon Revolution;40 Cards;6th February;2014
SDCS;Structure Deck: Cyber Strike;48 Cards;14th October;2021
SD41;Structure Deck: Cyber Style's Successor;53 Cards;15th May;2021
SDCL;Structure Deck: Cyberse Link;43 Cards;2nd November;2017
SD32;Structure Deck: Cyberse Link (OCG);43 Cards;17th June;2017
SR13;Structure Deck: Dark World;45 Cards;1st December;2022
SDX-1;Structure Deck: Deluxe Set;0 Cards;11th December;2003
SDX-2;Structure Deck: Deluxe Set Volume 2;0 Cards;9th December;2004
SD21;Structure Deck: Devil's Gate;0 Cards;18th June;2011
SD09;Structure Deck: Dinosaur's Rage;37 Cards;20th October;2006
SD09-JP;Structure Deck: Dinosaur's Rage (Japanese);0 Cards;22nd June;2006
SR04;Structure Deck: Dinosmasher's Fury;40 Cards;13th April;2017
SD1;Structure Deck: Dragon's Roar;29 Cards;1st January;2005
SD1-JP;Structure Deck: Dragon's Roar (Japanese);0 Cards;9th December;2004
