expid;expname;nCardsexp;dataexp;
LODT;Light of Destruction;114 Cards;1st May;2008
LODT-JP;Light of Destruction (Japanese);0 Cards;23rd February;2008
LIOV;Lightning Overdrive;106 Cards;3rd June;2021
LIOV-JP;Lightning Overdrive (OCG);126 Cards;16th January;2021
L1;Limited Edition;0 Cards;1st June;1999
LE10;Limited Edition 10;0 Cards;21st May;2007
LE11;Limited Edition 11;0 Cards;20th October;2007
LE12;Limited Edition 12;0 Cards;21st May;2008
LE13;Limited Edition 13;0 Cards;21st June;2008
LE14;Limited Edition 14;0 Cards;21st October;2008
LE15;Limited Edition 15;0 Cards;21st May;2009
LE16;Limited Edition 16;0 Cards;6th June;2009
LE17;Limited Edition 17;0 Cards;21st October;2009
WJ;Limited Edition 2;0 Cards;1st April;2000
L3;Limited Edition 3;0 Cards;1st April;2001
LE4;Limited Edition 4;0 Cards;28th May;2002
LE5;Limited Edition 5;0 Cards;8th April;2003
LE6;Limited Edition 6;0 Cards;1st May;2004
LE7;Limited Edition 7;0 Cards;21st October;2004
LE8;Limited Edition 8;0 Cards;21st May;2005
LE09;Limited Edition 9;0 Cards;20th May;2006
LVB1;LINK VRAINS Box;24 Cards;23rd December;2017
LVDS;LINK VRAINS Duelist Set;30 Cards;31st August;2019
VP17;LINK VRAINS Edition;4 Cards;21st July;2017
LVP1;LINK VRAINS Pack;105 Cards;25th November;2017
LVP2;LINK VRAINS Pack 2;120 Cards;23rd November;2018
LVP3;LINK VRAINS Pack 3;120 Cards;23rd November;2019
LTGY;Lord of the Tachyon Galaxy;113 Cards;1st May;2013
LTGY-JP;Lord of the Tachyon Galaxy (OCG);0 Cards;16th February;2013
LART;Lost Art Promos;59 Cards;1st February;2018
MRL;Magic Ruler;238 Cards;16th September;2002
MR;Magic Ruler (Japanese);0 Cards;20th April;2000
MFC;Magician's Force;109 Cards;10th October;2003
MAMA;Magnificent Mavens;139 Cards;3rd November;2022
MC1;Master Collection Vol. 1;6 Cards;1st December;2004
MC2;Master Collection Vol. 2;6 Cards;18th October;2005
MC1-JP;Master Collection Volume 1 (Japanese);0 Cards;17th March;2005
MC2-JP;Master Collection Volume 2 (Japanese);0 Cards;16th March;2006
MF01;Mattel Action Figure Serie 1;1 Cards;1st January;2000
MF02;Mattel Action Figure Serie 2;4 Cards;1st January;2000
MF03;Mattel Action Figure Serie 3;7 Cards;1st January;2000
MACR;Maximum Crisis;105 Cards;4th May;2017
MACR-JP;Maximum Crisis (OCG);103 Cards;14th January;2017
MAGO;Maximum Gold;171 Cards;12th November;2020
MGED;Maximum Gold: El Dorado;161 Cards;18th November;2021
MAZE;Maze of Memories;77 Cards;9th March;2023
MP1;McDonald's Promo Pack 1;15 Cards;20th December;2002
MDP2;McDonald's Promo Pack 2;20 Cards;26th December;2006
15AY-B;Memories of the Duel King: Battle City Arc;45 Cards;5th July;2014
15AY-C;Memories of the Duel King: Ceremonial Battle;45 Cards;23rd August;2014
MRD;Metal Raiders;432 Cards;23rd July;2003
ME;Metal Raiders (Japanese);0 Cards;22nd February;2001
PMT;Metal Raiders (PMT);144 Cards;7th November;2003
MB01;Millennium Box Gold Edition;43 Cards;28th November;2015
MIL1;Millennium Pack;48 Cards;14th April;2016
MP01;Millennium Pack (OCG);30 Cards;19th December;2015
MSP;Misprints;46 Cards;1st January;2000
MOV-JP;Movie Pack (Japanese);0 Cards;28th August;2005
MYFI;Mystic Fighters;60 Cards;21st November;2019
MA;Mythological Age;0 Cards;29th November;2001
NTR;Nightmare Troubadour;3 Cards;30th August;2005
NKRT;Noble Knights of the Round Table Box Set;44 Cards;20th November;2014
NCF1;Number Complete File -Piece of Memories-;147 Cards;28th April;2021
NUMH;Number Hunters;60 Cards;1st July;2013
ORCS;Order of Chaos;116 Cards;1st January;2012
ORCS-JP;Order of Chaos (Japanese);0 Cards;19th November;2011
OP01;OTS Tournament Pack 1;27 Cards;17th March;2016
OP10;OTS Tournament Pack 10;36 Cards;18th April;2019
OP11;OTS Tournament Pack 11;31 Cards;15th August;2019
OP12;OTS Tournament Pack 12;36 Cards;5th December;2019
OP13;OTS Tournament Pack 13;36 Cards;15th June;2020
OP14;OTS Tournament Pack 14;36 Cards;8th October;2020
OP15;OTS Tournament Pack 15;36 Cards;17th February;2021
OP16;OTS Tournament Pack 16;36 Cards;10th June;2021
OP17;OTS Tournament Pack 17;36 Cards;7th October;2021
OP18;OTS Tournament Pack 18;36 Cards;17th February;2022
OP19;OTS Tournament Pack 19;41 Cards;16th June;2022
OP02;OTS Tournament Pack 2;27 Cards;15th July;2016
OP20;OTS Tournament Pack 20;38 Cards;20th October;2022
OP21;OTS Tournament Pack 21;39 Cards;9th February;2023
OP03;OTS Tournament Pack 3;27 Cards;17th November;2016
OP04;OTS Tournament Pack 4;27 Cards;6th April;2017
OP05;OTS Tournament Pack 5;27 Cards;4th August;2017
OP06;OTS Tournament Pack 6;26 Cards;6th December;2017
OP07;OTS Tournament Pack 7;35 Cards;12th April;2018
OP08;OTS Tournament Pack 8;36 Cards;16th August;2018
OP09;OTS Tournament Pack 9;38 Cards;6th December;2018
YGOS;Oversized Cards;1 Cards;1st January;2000
PEVO;Pendulum Evolution;60 Cards;22nd June;2017
PTDN;Phantom Darkness;114 Cards;1st February;2008
PTDN-JP;Phantom Darkness (Japanese);0 Cards;23rd November;2007
PG;Phantom God;0 Cards;10th August;2000
PHRA;Phantom Rage;106 Cards;5th November;2020
PHRA-JP;Phantom Rage (OCG);127 Cards;8th August;2020
PT1;Pharaoh Tour 2005;2 Cards;1st January;2005
PT02;Pharaoh Tour 2006;2 Cards;28th October;2006
PT03;Pharaoh Tour 2007;2 Cards;1st January;2007
309;Pharaoh's Inheritance;0 Cards;26th February;2004
PSV;Pharaoh's Servant;315 Cards;20th October;2002
PS;Pharaoh's Servant (Japanese);0 Cards;13th July;2000
SDF;Pharaoh's Servant (SDF);105 Cards;1st February;2004
SDP-F;Pharaoh's Servant (SDP);105 Cards;8th January;2004
PGD;Pharaonic Guardian;108 Cards;18th July;2003
PH-JP;Pharaonic Guardian (Japanese);0 Cards;21st March;2002
VP22;Pharaonic Legend Pack;3 Cards;27th May;2022
PHHY;Photon Hypernova;107 Cards;9th February;2023
PHHY-JP;Photon Hypernova (OCG);126 Cards;15th October;2022
PHSW;Photon Shockwave;114 Cards;1st November;2011
PHSW-JP;Photon Shockwave (Japanese);0 Cards;16th July;2011
PCJ;Power of Chaos: Joey the Passion;3 Cards;1st September;2004
PCK;Power of Chaos: Kaiba the Revenge;3 Cards;26th March;2004
PCY;Power of Chaos: Yugi the Destiny;5 Cards;28th November;2003
POTD;Power of the Duelist;85 Cards;1st August;2006
POTD-JP;Power of the Duelist (Japanese);0 Cards;18th May;2006
POTE;Power of the Elements;106 Cards;4th August;2022
POTE-JP;Power of the Elements (OCG);126 Cards;23rd April;2022
304;Power of the Guardian;0 Cards;21st November;2002
PRC1;Premium Collection;25 Cards;1st March;2012
PGLD;Premium Gold;90 Cards;28th March;2014
PGL2;Premium Gold 2;91 Cards;19th March;2015
PGL3;Premium Gold: Infinite Gold;100 Cards;17th March;2016
P1;Premium Pack (Japanese);0 Cards;26th August;1999
PP01;Premium Pack 1;22 Cards;8th October;2007
PP10;Premium Pack 10;0 Cards;8th March;2007
PP11;Premium Pack 11;0 Cards;22nd December;2007
PP12;Premium Pack 12;0 Cards;20th March;2010
PP13;Premium Pack 13;0 Cards;12th March;2011
PP14;Premium Pack 14;0 Cards;17th March;2012
PP15;Premium Pack 15;0 Cards;16th March;2013
PP16;Premium Pack 16;39 Cards;21st March;2014
PP17;Premium Pack 17;40 Cards;21st March;2015
PP18;Premium Pack 18;40 Cards;19th March;2016
PP19;Premium Pack 19;40 Cards;11th March;2016
PP02;Premium Pack 2;30 Cards;1st July;2008
P2;Premium Pack 2 (Japanese);0 Cards;18th December;1999
PP20;Premium Pack 20;107 Cards;10th March;2018
19PP;Premium Pack 2019;60 Cards;9th March;2019
20PP;Premium Pack 2020;60 Cards;22nd February;2020
21PP;Premium Pack 2021;64 Cards;28th December;2020
22PP;Premium Pack 2022;64 Cards;18th December;2021
23PP;Premium Pack 2023;125 Cards;17th December;2022
P3;Premium Pack 3;0 Cards;10th August;2000
P4;Premium Pack 4;0 Cards;18th January;2001
P5;Premium Pack 5;0 Cards;22nd December;2001
PP6;Premium Pack 6;0 Cards;11th March;2004
PP7;Premium Pack 7;0 Cards;5th August;2004
PP8;Premium Pack 8;0 Cards;18th December;2004
PP9;Premium Pack 9;0 Cards;17th December;2005
PRIO;Primal Origin;112 Cards;16th May;2014
PRIO-JP;Primal Origin (OCG);103 Cards;15th February;2014
PAC1;Prismatic Art Collection;208 Cards;6th February;2021
PGB1;Prismatic God Box;65 Cards;19th December;2020
PROM;Promos;15 Cards;1st January;2000
PR01;Promotion Pack;0 Cards;13th November;2010
PR02;Promotion Pack 2;0 Cards;11th February;2011
17PR;Promotion Pack 2017;12 Cards;7th October;2017
18PR;Promotion Pack 2018;12 Cards;27th May;2018
19PR;Promotion Pack 2019;12 Cards;11th May;2019
PR03;Promotion Pack 3;0 Cards;15th February;2013
YRXX;R Comic Book Promos;4 Cards;1st June;2011
RYMP;Ra Yellow Mega Pack;114 Cards;1st February;2012
RGBT;Raging Battle;120 Cards;1st May;2009
RGBT-JP;Raging Battle (Japanese);0 Cards;14th February;2009
RATE;Raging Tempest;105 Cards;9th February;2017
RATE-JP;Raging Tempest (OCG);103 Cards;8th October;2016
RC02;Rarity Collection 20th Anniversary Edition;141 Cards;10th February;2018
RC03;Rarity Collection Premium Gold Edition;175 Cards;8th February;2020
RC04;Rarity Collection Quarter Century Edition;480 Cards;18th February;2023
ROD;Reshef of Destruction Promos;8 Cards;1st June;2004
RP01;Retro Pack;101 Cards;1st July;2008
RP02;Retro Pack 2;101 Cards;1st July;2009
REDU;Return of the Duelist;116 Cards;1st August;2012
REDU-JP;Return of the Duelist (Japanese);0 Cards;14th April;2012
RB;Revival of Black Demons Dragon;0 Cards;26th October;2000
RDS;Rise of Destiny;89 Cards;1st December;2004
RDS-JP;Rise of Destiny (Japanese);0 Cards;5th August;2004
ROTD;Rise of the Duelist;106 Cards;6th August;2020
ROTD-JP;Rise of the Duelist (OCG);127 Cards;18th April;2020
RIRA;Rising Rampage;109 Cards;25th July;2019
RIRA-JP;Rising Rampage (OCG);119 Cards;13th April;2019
RD/CP01;Rush Duel: Character Pack - Gavin/Roa/Romin;0 Cards;19th September;2020
RD/KP12;Rush Duel: Deck Mod Pack: Double Star of the Assault!!;0 Cards;21st January;2023
